Accession_number,sampling_date,collected_by,total_num_reads,num_reads_aligned_PF,avg_coverage_X,genomic_coordinates_0X_nt,genomic_coordinates_<10X_nt,genomic_coordinates_0X_pct,genomic_coordinates_<10X_pct,avg_read_quality,avg_read_quality_PF,avg_read_length,avg_read_length_PF,k2_hits_SC2,k2_hits_human,k2_hits_28384,k2_pct_SC2,k2_pct_human,k2_pct_28384,QC_determination,QC_issues
SRR17867448,2021-10-21,Yuma Center of Excellence for Desert Agriculture,602512,562,2X,16323,26914,54,90,37.2,37.5,151,151,315,2088,31808,0.10,0.69,10.56,not_performed,None
SRR17867449,2021-11-29,Yuma Center of Excellence for Desert Agriculture,1532538,4668,23X,327,5191,1,17,36.5,36.5,151,151,2459,22212,705252,0.32,2.90,92.04,not_performed,None
SRR17867450,2021-11-29,Yuma Center of Excellence for Desert Agriculture,593090,22384,113X,198,614,0,2,37.0,37.1,151,151,11541,275,227204,3.89,0.09,76.62,not_performed,None
SRR17867451,2021-11-29,Yuma Center of Excellence for Desert Agriculture,801292,10424,52X,241,2332,0,7,36.9,37.0,151,151,5533,1330,327105,1.38,0.33,81.64,not_performed,None
SRR17867452,2021-11-29,Yuma Center of Excellence for Desert Agriculture,761902,5795,29X,339,5851,1,19,36.9,37.1,151,151,3072,1020,279371,0.81,0.27,73.34,not_performed,None
SRR17867453,2021-11-29,Yuma Center of Excellence for Desert Agriculture,889426,24700,124X,198,510,0,1,36.9,37.0,151,151,12855,895,356304,2.89,0.20,80.12,not_performed,None
SRR17867454,2021-11-29,Yuma Center of Excellence for Desert Agriculture,689608,141945,716X,32,35,0,0,36.8,37.0,151,151,73572,1038,218663,21.34,0.30,63.42,not_performed,None
SRR17867455,2021-11-29,Yuma Center of Excellence for Desert Agriculture,747028,19558,98X,166,521,0,1,36.7,36.9,151,151,10351,1858,292766,2.77,0.50,78.38,not_performed,None
SRR17867456,2021-11-29,Yuma Center of Excellence for Desert Agriculture,742560,174187,879X,32,65,0,0,36.9,37.0,151,151,89887,979,193885,24.21,0.26,52.22,not_performed,None
SRR17867457,2021-11-29,Yuma Center of Excellence for Desert Agriculture,761554,14403,72X,209,763,0,2,36.9,37.0,151,151,7449,383,234795,1.96,0.10,61.66,not_performed,None
SRR17867458,2021-11-22,Yuma Center of Excellence for Desert Agriculture,325922,2107,10X,5703,20233,19,67,36.9,37.0,151,151,1107,566,47818,0.68,0.35,29.34,not_performed,None
SRR17867459,2021-10-21,Yuma Center of Excellence for Desert Agriculture,690920,10216,51X,1080,6133,3,20,37.3,37.5,151,151,5300,2596,98290,1.53,0.75,28.45,not_performed,None
SRR17867460,2021-11-22,Yuma Center of Excellence for Desert Agriculture,271690,20935,105X,2208,5621,7,18,37.0,37.1,151,151,10807,671,75616,7.96,0.49,55.66,not_performed,None
SRR17867461,2021-11-22,Yuma Center of Excellence for Desert Agriculture,622046,686,3X,14438,26937,48,90,37.0,37.1,151,151,372,546,126529,0.12,0.18,40.68,not_performed,None
SRR17867462,2021-11-22,Yuma Center of Excellence for Desert Agriculture,627246,1086,5X,9324,24866,31,83,36.8,37.0,151,151,734,1508,164616,0.23,0.48,52.49,not_performed,None
SRR17867463,2021-11-22,Yuma Center of Excellence for Desert Agriculture,294210,1570,7X,7617,22881,25,76,36.8,36.9,151,151,856,615,102128,0.58,0.42,69.43,not_performed,None
SRR17867464,2021-11-22,Yuma Center of Excellence for Desert Agriculture,319598,2285,11X,4649,21333,15,71,36.9,37.0,151,151,1205,477,104075,0.75,0.30,65.13,not_performed,None
SRR17867465,2021-11-22,Yuma Center of Excellence for Desert Agriculture,729396,754,3X,11485,26876,38,89,36.6,36.8,151,151,578,2410,207315,0.16,0.66,56.85,not_performed,None
SRR17867466,2021-11-22,Yuma Center of Excellence for Desert Agriculture,408470,2486,12X,1817,17573,6,58,36.7,36.9,151,151,1420,1602,157957,0.70,0.78,77.34,not_performed,None
SRR17867467,2021-11-08,Yuma Center of Excellence for Desert Agriculture,1092452,127456,643X,24,46,0,0,35.1,36.1,151,151,77989,7092,182512,14.28,1.30,33.41,not_performed,None
SRR17867468,2021-11-08,Yuma Center of Excellence for Desert Agriculture,1082130,20883,105X,62,1393,0,4,35.5,36.3,151,151,12536,4628,82612,2.32,0.86,15.27,not_performed,None
SRR17867469,2021-11-08,Yuma Center of Excellence for Desert Agriculture,878678,4033,20X,998,10185,3,34,35.1,36.2,151,151,2604,1056,147349,0.59,0.24,33.54,not_performed,None
SRR17867470,2021-11-01,Yuma Center of Excellence for Desert Agriculture,575614,44738,225X,316,1492,1,4,37.3,37.5,151,151,22963,500,13788,7.98,0.17,4.79,not_performed,None
SRR17867471,2021-11-01,Yuma Center of Excellence for Desert Agriculture,561248,47898,241X,202,1656,0,5,37.4,37.5,151,151,24417,857,3275,8.70,0.31,1.17,not_performed,None
SRR17867472,2021-10-21,Yuma Center of Excellence for Desert Agriculture,587782,3133,15X,4250,16430,14,54,37.4,37.6,151,151,1611,1815,23386,0.55,0.62,7.96,not_performed,None
SRR17867473,2021-11-01,Yuma Center of Excellence for Desert Agriculture,559792,74369,375X,97,155,0,0,37.3,37.5,151,151,38186,364,13052,13.64,0.13,4.66,not_performed,None
SRR17867474,2021-11-01,Yuma Center of Excellence for Desert Agriculture,723996,12191,61X,1498,6199,5,20,37.4,37.5,151,151,6245,230,2959,1.73,0.06,0.82,not_performed,None
SRR17867475,2021-11-01,Yuma Center of Excellence for Desert Agriculture,585742,7286,36X,997,6939,3,23,37.3,37.4,151,151,3737,154,1208,1.28,0.05,0.41,not_performed,None
SRR17867476,2021-11-01,Yuma Center of Excellence for Desert Agriculture,521514,4123,20X,17981,21611,60,72,37.2,37.4,151,151,2148,524,28212,0.82,0.20,10.82,not_performed,None
SRR17867477,2021-11-01,Yuma Center of Excellence for Desert Agriculture,509458,20038,101X,2599,7191,8,24,37.3,37.4,151,151,10306,377,3143,4.05,0.15,1.23,not_performed,None
SRR17867478,2021-11-01,Yuma Center of Excellence for Desert Agriculture,557338,6608,33X,3507,10252,11,34,37.2,37.4,151,151,3429,252,8413,1.23,0.09,3.02,not_performed,None
SRR17867479,2021-11-01,Yuma Center of Excellence for Desert Agriculture,505952,38628,195X,157,1362,0,4,37.2,37.3,151,151,19999,157,2914,7.91,0.06,1.15,not_performed,None
SRR17867480,2021-10-28,Yuma Center of Excellence for Desert Agriculture,623294,11465,57X,1254,9007,4,30,37.3,37.5,151,151,5869,91,1277,1.88,0.03,0.41,not_performed,None
SRR17867481,2021-10-27,Yuma Center of Excellence for Desert Agriculture,1303632,19022,96X,1289,5888,4,19,37.3,37.5,151,151,9764,244,1932,1.50,0.04,0.30,not_performed,None
SRR17867482,2022-01-03,Yuma Center of Excellence for Desert Agriculture,855108,91927,771X,32,79,0,0,37.5,37.6,251,251,56135,15459,219530,13.13,3.62,51.35,not_performed,None
SRR17867483,2022-01-03,Yuma Center of Excellence for Desert Agriculture,606964,108959,914X,62,62,0,0,37.5,37.7,251,251,63718,8469,180382,21.00,2.79,59.44,not_performed,None
SRR17867484,2021-10-21,Yuma Center of Excellence for Desert Agriculture,505574,1852,9X,9743,22045,32,73,37.5,37.6,151,151,951,862,42233,0.38,0.34,16.71,not_performed,None
SRR17867485,2021-10-18,Yuma Center of Excellence for Desert Agriculture,529078,6964,35X,827,7971,2,26,37.4,37.5,151,151,3602,2247,29933,1.36,0.85,11.32,not_performed,None
SRR17867486,2021-10-18,Yuma Center of Excellence for Desert Agriculture,505006,1091,5X,12738,24316,42,81,37.5,37.6,151,151,565,1868,21613,0.22,0.74,8.56,not_performed,None
SRR17869086,2022-01-11,FDA Center for Food Safety and Applied Nutrition,106107,90894,2054X,630,1029,2,3,18.5,18.5,676,676,89722,1416,0,84.56,1.33,0.00,not_performed,None
SRR17869087,2022-01-11,FDA Center for Food Safety and Applied Nutrition,121393,92014,2077X,393,929,1,3,18.8,18.8,675,675,90591,2280,0,74.63,1.88,0.00,not_performed,None
SRR17869088,2022-01-18,FDA Center for Food Safety and Applied Nutrition,260289,226184,5037X,144,462,0,1,18.8,18.8,666,666,223776,3136,0,85.97,1.20,0.00,not_performed,None
SRR17869089,2022-01-18,FDA Center for Food Safety and Applied Nutrition,331855,288743,6401X,370,693,1,2,18.8,18.8,663,663,285095,4111,2,85.91,1.24,0.00,not_performed,None
SRR17869096,2022-01-18,FDA Center for Food Safety and Applied Nutrition,354159,325920,7269X,2,661,0,2,18.7,18.7,667,667,322060,3842,0,90.94,1.08,0.00,not_performed,None
SRR17869097,2022-01-11,FDA Center for Food Safety and Applied Nutrition,214826,138918,3070X,558,818,1,2,18.9,18.9,661,661,136575,5207,0,63.57,2.42,0.00,not_performed,None
SRR17869098,2022-01-18,FDA Center for Food Safety and Applied Nutrition,153648,113943,2507X,306,705,1,2,18.8,18.8,658,658,112073,3250,0,72.94,2.12,0.00,not_performed,None
SRR17869101,2022-01-11,FDA Center for Food Safety and Applied Nutrition,602832,549640,12443X,473,635,1,2,18.6,18.6,677,677,545186,7363,0,90.44,1.22,0.00,not_performed,None
SRR17951134,2022-01-20,FDA Center for Food Safety and Applied Nutrition,3198212,2569792,12804X,67,130,0,0,37.0,37.1,149,149,1333870,847,163,83.41,0.05,0.01,not_performed,None
SRR17951285,2022-02-01,FDA Center for Food Safety and Applied Nutrition,3284362,3142365,15657X,62,104,0,0,36.9,37.1,149,149,1607648,123,17,97.90,0.01,0.00,not_performed,None
SRR17951286,2022-01-18,FDA Center for Food Safety and Applied Nutrition,4091750,3656304,18218X,62,86,0,0,37.0,37.1,149,149,1883564,644,13,92.07,0.03,0.00,not_performed,None
SRR17951287,2022-01-18,FDA Center for Food Safety and Applied Nutrition,2349148,2155752,10741X,66,67,0,0,36.9,37.1,149,149,1110634,277,294,94.56,0.02,0.03,not_performed,None
SRR17951288,2022-02-01,FDA Center for Food Safety and Applied Nutrition,2238064,2098828,10457X,58,67,0,0,36.9,37.1,149,149,1076113,58,214,96.16,0.01,0.02,not_performed,None
SRR17951289,2022-01-21,FDA Center for Food Safety and Applied Nutrition,2756418,2377030,11844X,72,157,0,0,37.0,37.1,149,149,1223425,586,40,88.77,0.04,0.00,not_performed,None
SRR17951290,2022-01-21,FDA Center for Food Safety and Applied Nutrition,1797856,1485953,7404X,307,1110,1,3,37.0,37.1,149,149,764427,566,302,85.04,0.06,0.03,not_performed,None
SRR17951291,2022-01-19,FDA Center for Food Safety and Applied Nutrition,4401842,3666188,18267X,66,67,0,0,37.0,37.1,149,149,1894891,1388,167,86.10,0.06,0.01,not_performed,None
SRR17951292,2022-02-01,FDA Center for Food Safety and Applied Nutrition,2031592,1922598,9579X,71,106,0,0,37.0,37.1,149,149,981868,103,119,96.66,0.01,0.01,not_performed,None
SRR17951293,2022-01-19,FDA Center for Food Safety and Applied Nutrition,3861650,3080576,15349X,124,130,0,0,36.9,37.1,149,149,1601303,1011,195,82.93,0.05,0.01,not_performed,None
SRR17971003,2022-01-12,FDA Center for Food Safety and Applied Nutrition,73792,60907,1360X,460,929,1,3,19.9,19.9,668,668,60624,743,0,82.16,1.01,0.00,not_performed,None
SRR17971128,2022-01-12,FDA Center for Food Safety and Applied Nutrition,57836,48281,1067X,304,927,1,3,20.0,20.0,661,661,48249,486,0,83.42,0.84,0.00,not_performed,None
SRR17971129,2022-01-12,FDA Center for Food Safety and Applied Nutrition,88355,70339,1547X,303,684,1,2,20.0,20.0,658,658,69594,550,0,78.77,0.62,0.00,not_performed,None
SRR17971130,2022-01-12,FDA Center for Food Safety and Applied Nutrition,136119,123936,2772X,669,908,2,3,19.9,19.9,669,669,123483,637,0,90.72,0.47,0.00,not_performed,None
SRR17971131,2022-01-12,FDA Center for Food Safety and Applied Nutrition,78350,64514,1404X,867,912,2,3,19.9,19.9,651,651,64114,642,0,81.83,0.82,0.00,not_performed,None
SRR17975893,2022-01-25,Nevada State Public Health Laboratory,899368,16910,41X,22023,22855,73,76,35.5,35.8,74,74,9333,193,0,2.08,0.04,0.00,not_performed,None
SRR17975894,2022-01-24,Nevada State Public Health Laboratory,776842,27236,67X,20508,21412,68,71,35.5,35.8,74,74,15307,154,0,3.94,0.04,0.00,not_performed,None
SRR17975895,2022-01-10,Nevada State Public Health Laboratory,450712,283998,702X,8099,12078,27,40,35.3,35.7,74,74,155497,44,0,69.00,0.02,0.00,not_performed,None
SRR17975896,2022-01-13,Nevada State Public Health Laboratory,555268,234179,579X,2782,4188,9,14,35.4,35.8,74,74,127527,60,0,45.93,0.02,0.00,not_performed,None
SRR17975897,2022-01-23,Nevada State Public Health Laboratory,942910,542534,1342X,10078,10679,33,35,35.5,35.8,74,74,294342,115,0,62.43,0.02,0.00,not_performed,None
SRR17975898,2022-01-22,Nevada State Public Health Laboratory,840976,515521,1275X,5974,6610,19,22,35.4,35.8,74,74,281015,114,0,66.83,0.03,0.00,not_performed,None
SRR17975899,2022-02-03,Nevada State Public Health Laboratory,836224,133647,330X,14767,15637,49,52,35.4,35.8,74,74,76083,179,0,18.20,0.04,0.00,not_performed,None
SRR17975900,2022-02-01,Nevada State Public Health Laboratory,829784,214774,531X,17998,18832,60,62,35.5,35.8,74,74,121562,154,0,29.30,0.04,0.00,not_performed,None
SRR17975901,2022-01-31,Nevada State Public Health Laboratory,910594,297717,736X,20167,20471,67,68,35.5,35.8,74,74,167524,163,0,36.79,0.04,0.00,not_performed,None
SRR17975902,2022-01-30,Nevada State Public Health Laboratory,909528,136474,337X,8437,9729,28,32,35.3,35.7,74,74,76112,127,0,16.74,0.03,0.00,not_performed,None
SRR17975903,2022-01-29,Nevada State Public Health Laboratory,552926,21649,53X,18550,20235,62,67,35.5,35.8,74,74,11950,166,0,4.32,0.06,0.00,not_performed,None
SRR17975904,2022-02-02,Nevada State Public Health Laboratory,879270,353796,875X,20892,21196,69,70,35.5,35.8,74,74,197707,113,0,44.97,0.03,0.00,not_performed,None
SRR17975905,2022-02-01,Nevada State Public Health Laboratory,932286,66678,165X,18371,22558,61,75,35.4,35.7,74,74,36862,137,0,7.91,0.03,0.00,not_performed,None
SRR17975906,2022-01-31,Nevada State Public Health Laboratory,1036934,14016,34X,29481,29486,98,98,35.5,35.8,74,74,7768,126,0,1.50,0.02,0.00,not_performed,None
SRR17975907,2022-01-27,Nevada State Public Health Laboratory,620346,113244,280X,16229,19368,54,64,35.5,35.8,74,74,61794,222,0,19.92,0.07,0.00,not_performed,None
SRR17975908,2022-01-21,Nevada State Public Health Laboratory,672406,430491,1065X,5285,6821,17,22,35.4,35.7,74,74,232454,93,0,69.14,0.03,0.00,not_performed,None
SRR17975909,2022-02-03,Nevada State Public Health Laboratory,853852,381852,944X,14904,18081,49,60,35.4,35.8,74,74,213136,627,0,49.92,0.15,0.00,not_performed,None
SRR17975910,2022-02-02,Nevada State Public Health Laboratory,951424,255118,631X,17531,18477,58,61,35.5,35.8,74,74,140773,179,0,29.59,0.04,0.00,not_performed,None
SRR17975911,2022-02-01,Nevada State Public Health Laboratory,965290,77721,192X,21390,21902,71,73,35.4,35.7,74,74,43302,167,0,8.97,0.03,0.00,not_performed,None
SRR17975912,2022-02-02,Nevada State Public Health Laboratory,556156,412786,1021X,27251,27322,91,91,35.5,35.8,74,74,229171,147,1,82.41,0.05,0.00,not_performed,None
SRR17975913,2022-01-31,Nevada State Public Health Laboratory,770370,254495,629X,17443,18834,58,62,35.2,35.6,74,74,142880,149,0,37.09,0.04,0.00,not_performed,None
SRR17975914,2022-01-28,Nevada State Public Health Laboratory,420892,191923,474X,19757,23231,66,77,35.4,35.8,74,74,106081,71,0,50.41,0.03,0.00,not_performed,None
SRR17975915,2022-01-18,Nevada State Public Health Laboratory,898896,21265,52X,28655,28689,95,95,35.4,35.7,74,74,11798,172,0,2.62,0.04,0.00,not_performed,None
SRR17975916,2022-01-17,Nevada State Public Health Laboratory,993964,157092,388X,12357,14160,41,47,35.5,35.7,74,74,87638,223,0,17.63,0.04,0.00,not_performed,None
SRR17975917,2022-01-27,Nevada State Public Health Laboratory,702442,506190,1252X,7510,9559,25,31,35.4,35.7,74,74,278244,96,0,79.22,0.03,0.00,not_performed,None
SRR17975918,2022-01-26,Nevada State Public Health Laboratory,989652,735627,1820X,5710,6361,19,21,35.5,35.8,74,74,408427,168,1,82.54,0.03,0.00,not_performed,None
SRR17975919,2022-01-20,Nevada State Public Health Laboratory,860240,355321,879X,15461,16086,51,53,35.3,35.6,74,74,195567,150,0,45.47,0.03,0.00,not_performed,None
SRR17975920,2022-01-23,Nevada State Public Health Laboratory,890272,709625,1756X,23535,23700,78,79,35.6,35.8,74,74,396476,286,0,89.07,0.06,0.00,not_performed,None
SRR17975921,2022-01-27,Nevada State Public Health Laboratory,707390,6886,17X,26265,26476,87,88,35.5,35.8,74,74,3805,100,0,1.08,0.03,0.00,not_performed,None
SRR17975922,2022-01-31,Nevada State Public Health Laboratory,754954,69627,172X,21459,22270,71,74,35.5,35.8,74,74,38773,132,0,10.27,0.03,0.00,not_performed,None
SRR17975923,2022-01-30,Nevada State Public Health Laboratory,797090,307626,761X,16411,17439,54,58,35.4,35.8,74,74,171233,122,0,42.96,0.03,0.00,not_performed,None
SRR17975924,2022-01-29,Nevada State Public Health Laboratory,1003440,71170,176X,8576,10402,28,34,35.5,35.8,74,74,39690,196,0,7.91,0.04,0.00,not_performed,None
SRR17975925,2022-01-22,Nevada State Public Health Laboratory,1197162,916472,2267X,20734,21426,69,71,35.5,35.8,74,74,516578,217,0,86.30,0.04,0.00,not_performed,None
SRR17975926,2022-01-21,Nevada State Public Health Laboratory,1002246,780545,1931X,19272,19583,64,65,35.5,35.8,74,74,431281,149,0,86.06,0.03,0.00,not_performed,None
SRR17975927,2022-01-20,Nevada State Public Health Laboratory,932328,707535,1750X,23823,24096,79,80,35.4,35.8,74,74,392133,136,0,84.12,0.03,0.00,not_performed,None
SRR17975928,2022-01-28,Nevada State Public Health Laboratory,845400,133024,329X,8592,9886,28,33,35.5,35.8,74,74,73155,170,0,17.31,0.04,0.00,not_performed,None
SRR17975929,2022-01-27,Nevada State Public Health Laboratory,775524,73921,182X,18363,19955,61,66,35.5,35.8,74,74,40833,148,0,10.53,0.04,0.00,not_performed,None
SRR17975930,2022-01-19,Nevada State Public Health Laboratory,785882,351063,868X,14744,15299,49,51,35.4,35.8,74,74,193145,139,0,49.15,0.04,0.00,not_performed,None
SRR17975931,2022-01-18,Nevada State Public Health Laboratory,718294,280160,693X,12306,13367,41,44,35.4,35.8,74,74,153848,113,0,42.84,0.03,0.00,not_performed,None
SRR17978072,2022-01-20,FDA Center for Food Safety and Applied Nutrition,3254552,2521850,12565X,110,167,0,0,37.0,37.1,149,149,1310498,1102,207,80.53,0.07,0.01,not_performed,None
SRR18017651,2022-01-27,FDA Center for Food Safety and Applied Nutrition,2252318,2012425,10027X,87,809,0,2,36.3,36.5,149,149,1051695,134,91,93.39,0.01,0.01,not_performed,None
SRR18017654,2022-01-23,FDA Center for Food Safety and Applied Nutrition,2864700,2634367,13126X,477,1983,1,6,36.2,36.5,149,149,1385275,78,107,96.71,0.01,0.01,not_performed,None
SRR18017658,2022-01-23,FDA Center for Food Safety and Applied Nutrition,1579436,1446356,7206X,1136,4473,3,14,36.1,36.4,149,149,758837,42,8,96.09,0.01,0.00,not_performed,None
SRR18017669,2022-01-27,FDA Center for Food Safety and Applied Nutrition,2549968,2198704,10955X,101,152,0,0,36.2,36.5,149,149,1151601,103,18,90.32,0.01,0.00,not_performed,None
SRR18017674,2022-01-25,FDA Center for Food Safety and Applied Nutrition,2227320,1937243,9652X,287,1433,0,4,36.1,36.4,149,149,1015886,39,35,91.22,0.00,0.00,not_performed,None
SRR18017683,2022-02-01,FDA Center for Food Safety and Applied Nutrition,2730664,2487571,12395X,175,768,0,2,36.2,36.5,149,149,1298971,61,21,95.14,0.00,0.00,not_performed,None
SRR18017686,2022-01-24,FDA Center for Food Safety and Applied Nutrition,2508368,2346048,11689X,1286,2698,4,9,36.2,36.5,149,149,1220204,35,42,97.29,0.00,0.00,not_performed,None
SRR18017687,2022-02-08,FDA Center for Food Safety and Applied Nutrition,2373046,2199653,10960X,62,66,0,0,36.1,36.4,149,149,1163568,29,43,98.07,0.00,0.00,not_performed,None
SRR18017700,2022-01-25,FDA Center for Food Safety and Applied Nutrition,1971226,1814671,9042X,1265,3865,4,12,36.3,36.5,149,149,945683,58,186,95.95,0.01,0.02,not_performed,None
SRR18017717,2022-02-08,FDA Center for Food Safety and Applied Nutrition,2226968,2079639,10362X,61,95,0,0,36.1,36.4,149,149,1095630,16,22,98.40,0.00,0.00,not_performed,None
SRR18017724,2022-01-26,FDA Center for Food Safety and Applied Nutrition,1770206,1604647,7995X,2160,3984,7,13,36.3,36.5,149,149,835386,66,83,94.38,0.01,0.01,not_performed,None
SRR18017727,2022-01-25,FDA Center for Food Safety and Applied Nutrition,2133400,1898948,9462X,66,100,0,0,36.1,36.4,149,149,1001482,58,49,93.89,0.01,0.00,not_performed,None
SRR18017730,2022-01-24,FDA Center for Food Safety and Applied Nutrition,3010180,2748082,13693X,1073,2620,3,8,36.2,36.5,149,149,1435465,96,169,95.37,0.01,0.01,not_performed,None
SRR18017789,2022-01-22,FDA Center for Food Safety and Applied Nutrition,2243096,2016266,10046X,1347,3384,4,11,36.3,36.5,149,149,1048749,110,186,93.51,0.01,0.02,not_performed,None
SRR18017791,2022-01-22,FDA Center for Food Safety and Applied Nutrition,2497292,2255369,11238X,1616,2785,5,9,36.3,36.5,149,149,1176245,119,304,94.20,0.01,0.02,not_performed,None
SRR18017794,2022-02-08,FDA Center for Food Safety and Applied Nutrition,2366434,2202792,10976X,62,92,0,0,36.1,36.4,149,149,1160229,31,70,98.06,0.00,0.01,not_performed,None
SRR18018920,2022-02-08,FDA Center for Food Safety and Applied Nutrition,2372148,2219660,11060X,62,64,0,0,36.2,36.5,149,149,1164513,31,66,98.18,0.00,0.01,not_performed,None
SRR18036402,2022-02-02,Washington State Department of Health,845864,512684,2588X,13549,14231,45,47,37.9,38.0,151,151,286454,5242,43465,67.73,1.24,10.28,not_performed,None
SRR18036403,2022-02-02,Washington State Department of Health,649014,520052,2626X,7772,8415,25,28,37.8,37.9,151,151,276064,2076,29148,85.07,0.64,8.98,not_performed,None
SRR18036404,2022-01-27,Washington State Department of Health,427504,388441,1961X,123,179,0,0,37.8,37.9,151,151,201197,2062,2268,94.13,0.96,1.06,not_performed,None
SRR18036405,2022-01-26,Washington State Department of Health,800734,757670,3825X,86,150,0,0,37.8,37.9,151,151,388681,620,6146,97.08,0.15,1.54,not_performed,None
SRR18036406,2022-01-26,Washington State Department of Health,489176,410079,2070X,128,157,0,0,37.5,37.7,151,151,214008,266,7595,87.50,0.11,3.11,not_performed,None
SRR18036407,2022-01-26,Washington State Department of Health,761080,651866,3291X,1258,1767,4,5,37.7,37.9,151,151,339367,1732,26630,89.18,0.46,7.00,not_performed,None
SRR18036408,2022-01-24,Washington State Department of Health,454652,436745,2205X,67,105,0,0,37.8,37.9,151,151,223919,75,2721,98.50,0.03,1.20,not_performed,None
SRR18036409,2022-01-24,Washington State Department of Health,488234,464607,2346X,83,150,0,0,37.8,37.9,151,151,238312,450,3660,97.62,0.18,1.50,not_performed,None
SRR18036410,2022-02-02,Washington State Department of Health,768942,583055,2944X,7449,7858,24,26,37.8,37.9,151,151,312313,5842,54406,81.23,1.52,14.15,not_performed,None
SRR18036411,2022-02-02,Washington State Department of Health,602336,448187,2263X,12333,12597,41,42,37.7,37.9,151,151,246376,7606,25259,81.81,2.53,8.39,not_performed,None
SRR18036412,2022-01-24,Washington State Department of Health,586556,535148,2702X,123,159,0,0,37.8,37.9,151,151,274349,111,5957,93.55,0.04,2.03,not_performed,None
SRR18036413,2022-01-24,Washington State Department of Health,822474,772048,3898X,157,309,0,1,37.7,37.9,151,151,397370,1759,2692,96.63,0.43,0.65,not_performed,None
SRR18036594,2022-01-25,FDA Center for Food Safety and Applied Nutrition,154545,128997,2907X,438,904,1,3,19.7,19.7,674,674,128109,1638,0,82.89,1.06,0.00,not_performed,None
SRR18036595,2022-02-01,FDA Center for Food Safety and Applied Nutrition,140514,4033,85X,1099,4771,3,15,18.8,18.8,635,635,4349,3841,0,3.10,2.73,0.00,not_performed,None
SRR18036697,2022-02-01,FDA Center for Food Safety and Applied Nutrition,82363,1873,39X,1729,8381,5,28,18.8,18.8,630,630,2083,2728,0,2.53,3.31,0.00,not_performed,None
SRR18036698,2022-01-25,FDA Center for Food Safety and Applied Nutrition,200290,183000,4136X,366,910,1,3,19.4,19.4,676,676,181852,1251,0,90.79,0.62,0.00,not_performed,None
SRR18036699,2022-02-01,FDA Center for Food Safety and Applied Nutrition,116396,2933,63X,989,5691,3,19,19.1,19.1,650,650,3212,3832,0,2.76,3.29,0.00,not_performed,None
SRR18036700,2022-01-25,FDA Center for Food Safety and Applied Nutrition,136632,103572,2306X,289,686,0,2,19.5,19.5,666,666,102744,1472,0,75.20,1.08,0.00,not_performed,None
SRR18036701,2022-02-01,FDA Center for Food Safety and Applied Nutrition,157693,2323,46X,1071,8920,3,29,18.7,18.7,602,602,2710,4189,753,1.72,2.66,0.48,not_performed,None
SRR18036702,2022-01-25,FDA Center for Food Safety and Applied Nutrition,148871,96059,2152X,379,916,1,3,19.2,19.2,670,670,95385,2580,0,64.07,1.73,0.00,not_performed,None
SRR18050592,2022-01-12,FDA Center for Food Safety and Applied Nutrition,4388406,4270687,21279X,63,67,0,0,37.5,37.5,149,149,2177756,85,122,99.25,0.00,0.01,not_performed,None
SRR18050593,2022-01-12,FDA Center for Food Safety and Applied Nutrition,41205,33080,720X,698,932,2,3,19.9,19.9,651,651,32800,695,0,79.60,1.69,0.00,not_performed,None
SRR18050594,2022-01-12,FDA Center for Food Safety and Applied Nutrition,5451836,5295198,26384X,62,67,0,0,37.5,37.5,149,149,2683569,271,456,98.45,0.01,0.02,not_performed,None
SRR18050641,2022-01-12,FDA Center for Food Safety and Applied Nutrition,3296432,3220561,16047X,62,85,0,0,37.5,37.5,149,149,1634365,90,12,99.16,0.01,0.00,not_performed,None
SRR18050642,2022-01-12,FDA Center for Food Safety and Applied Nutrition,4671204,4466271,22254X,64,67,0,0,37.5,37.5,149,149,2273425,419,401,97.34,0.02,0.02,not_performed,None
SRR18050643,2022-01-12,FDA Center for Food Safety and Applied Nutrition,3907254,3819530,19031X,66,67,0,0,37.5,37.5,149,149,1934117,117,11,99.00,0.01,0.00,not_performed,None
SRR18050644,2022-01-12,FDA Center for Food Safety and Applied Nutrition,3930850,3854419,19205X,58,67,0,0,37.4,37.5,149,149,1949247,140,10,99.18,0.01,0.00,not_performed,None
SRR18053867,2022-01-25,FDA Center for Food Safety and Applied Nutrition,2456288,2146691,10696X,62,69,0,0,36.3,36.6,149,149,1128610,155,186,91.90,0.01,0.02,not_performed,None
SRR18072967,2022-02-06,Nevada State Public Health Laboratory,577540,408895,1011X,25382,25503,84,85,34.8,35.3,74,74,234770,86,0,81.30,0.03,0.00,not_performed,None
SRR18072968,2022-02-05,Nevada State Public Health Laboratory,775466,399194,987X,25829,25931,86,86,34.8,35.2,74,74,228681,148,1,58.98,0.04,0.00,not_performed,None
SRR18072969,2022-02-04,Nevada State Public Health Laboratory,579728,228030,564X,22039,22661,73,75,34.7,35.2,74,74,129811,143,0,44.78,0.05,0.00,not_performed,None
SRR18072970,2022-02-06,Nevada State Public Health Laboratory,664562,123901,306X,27391,27463,91,91,34.8,35.2,74,74,70683,183,0,21.27,0.06,0.00,not_performed,None
SRR18072971,2022-02-05,Nevada State Public Health Laboratory,879906,246067,608X,26105,26221,87,87,34.7,35.2,74,74,142015,188,0,32.28,0.04,0.00,not_performed,None
